,target
0,7
1,4
2,4
3,1
4,14
5,16
6,13
7,3
8,2
9,4
10,8
11,19
12,4
13,14
14,6
15,0
16,1
17,7
18,12
19,5
20,0
21,10
22,6
23,2
24,4
25,1
26,12
27,9
28,15
29,7
30,6
31,13
32,12
33,17
34,18
35,10
36,8
37,11
38,8
39,16
40,9
41,4
42,3
43,9
44,9
45,4
46,4
47,8
48,12
49,14
50,5
51,15
52,2
53,13
54,17
55,11
56,7
57,10
58,2
59,14
60,12
61,5
62,4
63,6
64,7
65,0
66,11
67,16
68,0
69,6
70,17
71,7
72,12
73,7
74,3
75,12
76,11
77,7
78,2
79,2
80,0
81,16
82,1
83,2
84,7
85,3
86,2
87,1
88,10
89,12
90,12
91,17
92,12
93,2
94,8
95,8
96,18
97,5
98,0
99,1
100,6
101,12
102,8
103,4
104,17
105,12
106,12
107,12
108,1
109,6
110,18
111,4
112,3
113,10
114,9
115,0
116,13
117,11
118,5
119,14
120,15
121,8
122,4
123,15
124,15
125,1
126,0
127,16
128,9
129,8
130,6
131,13
132,6
133,17
134,14
135,0
136,9
137,1
138,2
139,15
140,13
141,9
142,2
143,8
144,2
145,13
146,2
147,0
148,15
149,14
150,1
151,14
152,17
153,14
154,4
155,4
156,7
157,19
158,1
159,15
160,17
161,16
162,2
163,15
164,9
165,12
166,6
167,9
168,6
169,6
170,18
171,1
172,10
173,6
174,10
175,5
176,2
177,13
178,3
179,9
180,13
181,12
182,13
183,8
184,4
185,3
186,9
187,1
188,12
189,4
190,2
191,2
192,11
193,13
194,4
195,1
196,12
197,0
198,16
199,12
200,16
201,7
202,17
203,15
204,11
205,14
206,2
207,7
208,10
209,14
210,15
211,5
212,16
213,11
214,4
215,13
216,7
217,4
218,13
219,17
220,1
221,15
222,17
223,17
224,9
225,16
226,17
227,0
228,16
229,8
230,13
231,2
232,14
233,10
234,2
235,2
236,9
237,14
238,9
239,2
240,15
241,15
242,4
243,4
244,11
245,11
246,11
247,13
248,0
249,6
250,18
251,13
252,0
253,18
254,16
255,2
256,9
257,11
258,9
259,3
260,0
261,18
262,7
263,9
264,14
265,9
266,10
267,17
268,8
269,5
270,3
271,2
272,13
273,6
274,7
275,1
276,11
277,4
278,12
279,11
280,6
281,2
282,14
283,9
284,1
285,4
286,11
287,15
288,15
289,6
290,5
291,10
292,8
293,4
294,16
295,17
296,9
297,8
298,10
299,17
300,10
301,11
302,8
303,15
304,10
305,4
306,12
307,0
308,5
309,4
310,0
311,18
312,17
313,2
314,3
315,0
316,19
317,19
318,9
319,19
320,5
321,13
322,14
323,10
324,5
325,11
326,6
327,6
328,1
329,13
330,13
331,18
332,17
333,2
334,9
335,15
336,2
337,8
338,9
339,2
340,19
